Year,Name,GACC,State_Code,State,Start_Date,Contain_Date,Acres,Cause,Estimated_Cost,Lat,Long
2015,Torment Creek,AK,AK,Alaska,6/20/2015,8/4/2015,"81,468",L,"$7,000",65.8713566,-151.6387394
2015,River Complex,NO,CA,California,7/30/2015,9/25/2015,"77,081",L,"$32,678,783",37.1483697,-120.5339554
2015,Kettle Complex,NW,WA,Washington,8/11/2015,9/27/2015,"76,512",L,$0,48.4850317,-119.0387626
2015,Valley,NO,CA,California,9/12/2015,10/5/2015,"76,067",U,"$56,220,000",40.1999086,-122.2186171
2015,Wolverine,NW,WA,Washington,6/29/2015,10/3/2015,"72,123",L,"$35,000,000",47.1927793,-125.3698092
2015,Butte,NO,CA,California,9/9/2015,9/30/2015,"70,868",U,"$74,720,784",39.7235592,-122.1335014
2015,Rocky,NO,CA,California,7/29/2015,8/14/2015,"69,438",U,"$46,100,000",39.7149144,-123.3572008
2015,Bear Creek,NR,MT,Montana,8/12/2015,10/22/2015,"69,435",L,"$3,300,000",45.1608053,-109.1612164
2015,Kutokbuna Lake,AK,AK,Alaska,6/21/2015,7/2/2015,"68,320",L,"$82,167",61.2611103,-155.5907806
2015,County Line 2,NW,OR,Oregon,8/12/2015,8/31/2015,"67,207",U,"$16,400,000",44.0653956,-125.0720746
2015,Three Day,AK,AK,Alaska,6/19/2015,7/7/2015,"66,703",L,$0,42.5928979,-138.5234300
2015,Lloyd,AK,AK,Alaska,6/24/2015,8/14/2015,"66,267",L,"$603,744",60.9580777,-153.2492966
2015,Carpenter Road,NW,WA,Washington,8/14/2015,12/16/2015,"63,972",H,"$22,650,000",47.0247446,-122.7937681
2015,West Fork,AK,AK,Alaska,6/19/2015,7/25/2015,"58,335",L,"$4,000",64.9463535,-155.9303404
2015,Dulbi River,AK,AK,Alaska,6/19/2015,6/25/2015,"56,687",L,$0,65.4078732,-155.2703049
2015,Tobatokh,AK,AK,Alaska,6/22/2015,7/1/2015,"54,036",L,"$2,000",63.3226829,-143.3551187
2015,Family Peak Complex,NR,MT,Montana,8/13/2015,10/17/2015,"53,890",L,"$4,205,000",48.1485951,-113.0411898
2015,Cougar Creek,NW,WA,Washington,8/10/2015,10/17/2015,"53,534",L,"$23,500,000",47.1796661,-123.5913632
2015,Hardpac Creek,AK,AK,Alaska,6/21/2015,8/3/2015,"50,482",L,"$3,000",66.8815523,-148.8805845
2015,Bendire Complex,NW,OR,Oregon,8/11/2015,9/15/2015,"49,628",L,"$4,820,000",44.0182102,-118.0546416
2015,Chitanana River,AK,AK,Alaska,6/21/2015,7/11/2015,"49,540",L,"$1,000",64.9272390,-151.5425094
2015,Can Creek,AK,AK,Alaska,6/1/2015,7/17/2015,"48,729",L,"$18,945",61.1495961,-155.1185331
2015,Glacier,AK,AK,Alaska,6/23/2015,7/28/2015,"47,333",L,"$4,000",60.5621690,-151.6834779
2015,Eden Creek,AK,AK,Alaska,6/25/2015,8/14/2015,"45,995",L,"$71,650",63.6420943,-153.7755302
2015,Old Woman,AK,AK,Alaska,6/20/2015,7/7/2015,"44,098",L,$0,62.9085511,-160.9863992
2015,Zane Hills,AK,AK,Alaska,6/20/2015,7/3/2015,"43,760",L,$0,66.2658835,-156.1376780
2015,Why Lake,AK,AK,Alaska,6/19/2015,7/2/2015,"42,767",L,"$13,348",66.0464144,-146.6646243
2015,Kuka Creek 4,AK,AK,Alaska,6/22/2015,7/24/2015,"41,628",L,"$4,700",61.3597412,-163.2394540
2015,Carlson Lake,AK,AK,Alaska,6/25/2015,8/10/2015,"40,257",L,"$45,362",62.7632423,-143.8793366
