Year,Name,State_Code,State,Start_Date,Contain_Date,Acres,Cause,Estimated_Cost,,,,
2014,Buzzard Complex,OR,Oregon,7/14/2014,9/11/2014,"395,747",L,"$11,062,411",,,,
2014,Shaniko Butte,OR,Oregon,7/12/2014,9/25/2014,"42,044",L,"$5,200,000",,,,
2007,Murphy Complex,ID,Idaho,7/16/2007,9/27/2007,"652,016",L,"$13,000,000",,,,
2014,July Complex,CA,California,8/3/2014,9/25/2014,"50,042",L,"$50,295,981",,,,
2008,Rocky,NM,New Mexico,6/18/2008,6/25/2008,"49,132",L,"$2,158,700",,,,
2008,,GA,Georgia,,,"120,710",,,,,,
2009,,GA,Georgia,,,"101,616",,,,,,
2011,Diamond Complex,MT,Montana,8/22/2011,9/3/2011,"52,710",L,"$4,982,582",,,,
2007,Cascade Complex,ID,Idaho,7/17/2007,10/19/2007,"302,376",L,"$53,240,816",,,,
2007,East Zone Complex,ID,Idaho,7/7/2007,11/28/2007,"300,022",L,"$33,000,000",,,,
2012,Ash Creek,MT,Montana,6/25/2012,7/11/2012,"249,562",L,"$7,500,000",,,,
2015,Canyon Creek Complex,OR,Oregon,8/12/2015,10/29/2015,"110,261",L,"$31,453,602",,,,
2007,Shower Bath Complex,ID,Idaho,8/1/2007,9/14/2007,"122,600",L,"$5,215,000",,,,
2007,Rattlesnake,ID,Idaho,7/13/2007,11/20/2007,"102,000",L,"$17,800,000",,,,
2012,Rosebud Creek Complex,MT,Montana,8/1/2012,8/16/2012,"171,444",L,"$9,000,000",,,,
2007,Neola North,UT,Utah,6/29/2007,7/27/2007,"43,831",U,"$8,050,000",,,,
2016,Maple,WY,Wyoming,8/8/2016,10/27/2016,"45,516",L,"$6,267,928",,,,
2007,Krassel Complex,ID,Idaho,6/17/2007,10/16/2007,"85,700",L,"$2,775,000",,,,
2015,Cornet-Windy Ridge,OR,Oregon,8/11/2015,10/27/2015,"102,089",U,"$6,010,000",,,,
2010,,GA,Georgia,,,"92,070",,,,,,
2012,,GA,Georgia,,,"87,296",,,,,,
2013,,GA,Georgia,,,"84,910",,,,,,
2014,,GA,Georgia,,,"83,716",,,,,,
2018,Spring Creek,CO,Colorado,6/27/2018,9/6/2018,"108,045",H,"$35,000,000",,,,
2012,Region 23 Complex,NE,Nebraska,8/28/2012,9/9/2012,"86,201",L,"$5,300,000",,,,
2012,Chalky,MT,Montana,8/1/2012,8/3/2012,"131,000",L,"$50,000",,,,
2015,Kettle Complex,WA,Washington,8/11/2015,9/27/2015,"76,512",L,$0,,,,
2012,Wellnitz,NE,Nebraska,8/29/2012,9/6/2012,"77,683",L,"$1,300,000",,,,
2012,Region 24 Complex,NE,Nebraska,7/20/2012,7/29/2012,"76,242",L,"$3,251,141",,,,
2012,Sarpy Hills Complex,MT,Montana,7/31/2012,8/9/2012,"82,000",L,"$4,120,000",,,,
2015,Rough,CA,California,7/31/2015,10/12/2015,"151,623",L,"$120,930,243",,,,
2015,Grizzly Bear Complex,OR,Oregon,8/13/2015,10/30/2015,"83,148",L,"$20,968,610",,,,
2007,Black Pine 2,ID,Idaho,7/6/2007,9/13/2007,"73,148",L,$0,,,,
2017,,WY,Wyoming,,,"53,514",,"$18,133,964",,,,
2018,Roosevelt,WY,Wyoming,9/15/2018,10/6/2018,"61,511",U,"$30,000,000",,,,
2015,River Complex,CA,California,7/30/2015,9/25/2015,"77,081",L,"$32,678,783",,,,
2008,,OK,Oklahoma,,,"60,544",,,,,,
2015,,GA,Georgia,,,"83,120",,,,,,
2016,,GA,Georgia,,,"82,821",,,,,,
2009,Chester,OK,Oklahoma,7/10/2009,7/17/2009,"41,497",U,"$250,000",,,,
2018,,GA,Georgia,,,"82,672",,,,,,
2019,,GA,Georgia,,,"82,598",,,,,,
2008,,ID,Idaho,,,"67,870",,,,,,
2009,Putnam,OK,Oklahoma,3/5/2009,3/11/2009,"52,790",NR,$0,,,,
