Year,Name,State_Code,State,Start_Date,Contain_Date,Acres,Cause,Estimated_Cost,,,,
2013,Mississippi,AK,Alaska,5/30/2013,11/2/2013,67338.00,H,5220000.00,,,,
2011,Hancock Complex,OR,Oregon,8/24/2011,9/16/2011,57597.00,L,2896867.00,,,,
2013,Beaver Log Lakes,AK,Alaska,6/22/2013,8/28/2013,64499.00,L,1847258.00,,,,
2013,Prospect Creek,AK,Alaska,6/20/2013,9/3/2013,64078.00,L,98377.00,,,,
2007,Moose Creek WFU,ID,Idaho,8/3/2007,10/17/2007,48630.00,L,295183.00,,,,
2013,Sandless Lake,AK,Alaska,6/25/2013,9/3/2013,62318.00,L,10000.00,,,,
2007,Castle Rock,ID,Idaho,8/16/2007,10/22/2007,48520.00,L,25000000.00,,,,
2012,Wenatchee Complex,WA,Washington,9/9/2012,10/30/2012,56478.00,L,32394876.00,,,,
2007,Landmark Complex,ID,Idaho,8/8/2007,8/23/2007,47270.00,L,15000000.00,,,,
2012,Long Draw,OR,Oregon,7/8/2012,7/30/2012,557628.00,L,4360000.00,,,,
2013,Sulatna River,AK,Alaska,6/21/2013,8/28/2013,47588.00,L,7000.00,,,,
2009,Crazy Mountain Complex,AK,Alaska,6/20/2009,8/19/2009,447420.00,L,0.00,,,,
2009,Minto Flats South,AK,Alaska,6/21/2009,7/21/2009,517078.00,L,0.00,,,,
2012,Rush,CA,California,8/12/2012,9/4/2012,315577.00,L,15170000.00,,,,
2012,Table Mountain,WA,Washington,9/8/2012,10/19/2012,42312.00,L,195000.00,,,,
2012,Chips,CA,California,7/29/2012,9/8/2012,75431.00,U,53300000.00,,,,
2013,Colockum Tarps,WA,Washington,7/27/2013,8/18/2013,80184.00,H,11000000.00,,,,
2012,Lost,CA,California,8/5/2012,8/12/2012,61541.00,L,3700000.00,,,,
2012,Bagley,CA,California,8/18/2012,9/22/2012,46011.00,L,37063416.00,,,,
2007,Sawmill Complex,MT,Montana,7/31/2007,11/1/2007,68500.00,L,20864000.00,,,,
2013,Chisana River,AK,Alaska,5/31/2013,10/23/2013,46638.00,L,35776.00,,,,
2012,Holloway,OR,Oregon,8/5/2012,8/23/2012,460850.00,L,9166719.00,,,,
2014,Funny River,AK,Alaska,5/19/2014,8/14/2014,195858.00,H,11496627.00,,,,
2015,Tanana Area Fires,AK,Alaska,6/19/2015,8/6/2015,498043.00,L,14049552.00,,,,
2014,Carlton Complex,WA,Washington,7/14/2014,8/28/2014,256108.00,L,68800000.00,,,,
2015,Ruby Area Fires,AK,Alaska,7/2/2015,8/4/2015,421613.00,L,2845925.00,,,,
2015,Sushgitit Hills,AK,Alaska,6/21/2015,8/15/2015,270747.00,L,51000.00,,,,
2009,Railbelt Complex,AK,Alaska,6/21/2009,8/20/2009,636224.00,L,0.00,,,,
2007,Fool Creek,MT,Montana,6/28/2007,11/30/2007,60038.00,L,4426873.00,,,,
2015,North Star,WA,Washington,8/13/2015,11/30/2015,218138.00,H,45000000.00,,,,
2015,Aniak Complex,AK,Alaska,7/4/2015,7/19/2015,157783.00,L,6492120.00,,,,
2012,Miller Homestead,OR,Oregon,7/8/2012,9/21/2012,160853.00,L,6000000.00,,,,
2015,Rock,AK,Alaska,6/19/2015,8/15/2015,142637.00,L,1694868.00,,,,
2015,Isahultila,AK,Alaska,6/21/2015,8/15/2015,128617.00,L,10000.00,,,,
2015,Sea,AK,Alaska,6/19/2015,8/8/2015,111193.00,L,7000.00,,,,
2015,Big Mud River 1,AK,Alaska,6/21/2015,8/8/2015,103170.00,L,5000.00,,,,
2015,Iditarod River,AK,Alaska,6/20/2015,7/25/2015,98183.00,L,282298.00,,,,
2009,La Brea,CA,California,8/8/2009,10/5/2009,89489.00,H,0.00,,,,
2015,Munsatli 2,AK,Alaska,7/4/2015,8/2/2015,95679.00,L,6000.00,,,,
2015,Torment Creek,AK,Alaska,6/20/2015,8/4/2015,81468.00,L,7000.00,,,,
2015,Kutokbuna Lake,AK,Alaska,6/21/2015,7/2/2015,68320.00,L,82167.00,,,,
2012,Barry Point,OR,Oregon,8/6/2012,9/17/2012,93071.00,L,23247235.00,,,,
2009,,GA,Georgia,,,,,,,,,
2009,Putnam,OK,Oklahoma,3/5/2009,3/11/2009,52790.00,NR,0.00,,,,
2012,North Pass,CA,California,8/18/2012,9/17/2012,41983.00,L,30493184.00,,,,
2013,Rim,CA,California,8/17/2013,10/24/2013,257314.00,U,127350000.00,,,,
2006,Warm Fire,AZ,Arizona,6/8/2006,8/2/2006,58630.00,L,7100000.00,,,,
2009,Loco/Healdton,OK,Oklahoma,4/9/2009,4/15/2009,56688.00,U,0.00,,,,
2014,Happy Camp Complex,CA,California,8/14/2014,12/4/2014,134056.00,L,88214725.00,,,,
2012,Cache Creek,OR,Oregon,8/20/2012,10/23/2012,73697.00,L,11250000.00,,,,
2014,King,CA,California,9/13/2014,10/9/2014,97717.00,H,119000000.00,,,,
2015,Lloyd,AK,Alaska,6/24/2015,8/14/2015,66267.00,L,603744.00,,,,
2015,West Fork,AK,Alaska,6/19/2015,7/25/2015,58335.00,L,4000.00,,,,
2009,,ID,Idaho,,,,,,,,,
2008,Stiles Complex,NM,New Mexico,3/14/2008,3/16/2008,67008.00,H,71644.00,,,,
2007,Bridge,ID,Idaho,7/25/2007,12/3/2007,44100.00,L,401815.00,,,,
2007,Confluence Complex,ID,Idaho,8/31/2007,9/7/2007,40134.00,L,1078949.00,,,,
2013,West Fork Complex,CO,Colorado,6/5/2013,10/31/2013,109615.00,L,31261047.00,,,,
2009,,MT,Montana,,,,,,,,,
2015,Chelan Complex,WA,Washington,8/14/2015,9/20/2015,88985.00,U,10000000.00,,,,
2015,Tobatokh,AK,Alaska,6/22/2015,7/1/2015,54036.00,L,2000.00,,,,
2015,Hardpac Creek,AK,Alaska,6/21/2015,8/3/2015,50482.00,L,3000.00,,,,
2015,Chitanana River,AK,Alaska,6/21/2015,7/11/2015,49540.00,L,1000.00,,,,
2015,Can Creek,AK,Alaska,6/1/2015,7/17/2015,48729.00,L,18945.00,,,,
2013,Sunnyside Turnoff,OR,Oregon,7/20/2013,9/3/2013,51340.00,H,4000000.00,,,,
2013,Douglas Complex,OR,Oregon,7/26/2013,10/18/2013,48679.00,L,55000000.00,,,,
2015,Glacier,AK,Alaska,6/23/2015,7/28/2015,47333.00,L,4000.00,,,,
2015,Eden Creek,AK,Alaska,6/25/2015,8/14/2015,45995.00,L,71650.00,,,,
2013,Owyhee,OR,Oregon,7/1/2013,7/8/2013,46559.00,L,1843801.00,,,,
2008,Dunn Mtn. Assist,MT,Montana,8/21/2008,9/2/2008,102383.00,L,2900000.00,,,,
2014,Buzzard Complex,OR,Oregon,7/14/2014,9/11/2014,395747.00,L,11062411.00,,,,
2014,Shaniko Butte,OR,Oregon,7/12/2014,9/25/2014,42044.00,L,5200000.00,,,,
2007,Murphy Complex,ID,Idaho,7/16/2007,9/27/2007,652016.00,L,13000000.00,,,,
2014,July Complex,CA,California,8/3/2014,9/25/2014,50042.00,L,50295981.00,,,,
2008,Rocky,NM,New Mexico,6/18/2008,6/25/2008,49132.00,L,2158700.00,,,,
2009,Big Pole,UT,Utah,8/6/2009,11/9/2009,44345.00,L,0.00,,,,
2009,,TX,Texas,,,,,,,,,
2011,Diamond Complex,MT,Montana,8/22/2011,9/3/2011,52710.00,L,4982582.00,,,,
2007,Cascade Complex,ID,Idaho,7/17/2007,10/19/2007,302376.00,L,53240816.00,,,,
2007,East Zone Complex,ID,Idaho,7/7/2007,11/28/2007,300022.00,L,33000000.00,,,,
2012,Ash Creek,MT,Montana,6/25/2012,7/11/2012,249562.00,L,7500000.00,,,,
2015,Canyon Creek Complex,OR,Oregon,8/12/2015,10/29/2015,110261.00,L,31453602.00,,,,
2007,Shower Bath Complex,ID,Idaho,8/1/2007,9/14/2007,122600.00,L,5215000.00,,,,
2007,Rattlesnake,ID,Idaho,7/13/2007,11/20/2007,102000.00,L,17800000.00,,,,
2012,Rosebud Creek Complex,MT,Montana,8/1/2012,8/16/2012,171444.00,L,9000000.00,,,,
2007,Neola North,UT,Utah,6/29/2007,7/27/2007,43831.00,U,8050000.00,,,,
2016,Maple,WY,Wyoming,8/8/2016,10/27/2016,45516.00,L,6267928.00,,,,
2007,Krassel Complex,ID,Idaho,6/17/2007,10/16/2007,85700.00,L,2775000.00,,,,
2015,Cornet-Windy Ridge,OR,Oregon,8/11/2015,10/27/2015,102089.00,U,6010000.00,,,,
2009,East Slide Rock Ridge,NV,Nevada,8/10/2008,4/7/2009,54549.00,L,0.00,,,,
2009,,OR,Oregon,,,,,,,,,
2009,,SD,South Dakota,,,,,,,,,
2010,,AZ,Arizona,,,,,,,,,
2018,Spring Creek,CO,Colorado,6/27/2018,9/6/2018,108045.00,H,35000000.00,,,,
2012,Region 23 Complex,NE,Nebraska,8/28/2012,9/9/2012,86201.00,L,5300000.00,,,,
2012,Chalky,MT,Montana,8/1/2012,8/3/2012,131000.00,L,50000.00,,,,
2010,,CA,California,,,,,,,,,
2012,Wellnitz,NE,Nebraska,8/29/2012,9/6/2012,77683.00,L,1300000.00,,,,
2012,Region 24 Complex,NE,Nebraska,7/20/2012,7/29/2012,76242.00,L,3251141.00,,,,
2012,Sarpy Hills Complex,MT,Montana,7/31/2012,8/9/2012,82000.00,L,4120000.00,,,,
2015,Rough,CA,California,7/31/2015,10/12/2015,151623.00,L,120930243.00,,,,
2015,Grizzly Bear Complex,OR,Oregon,8/13/2015,10/30/2015,83148.00,L,20968610.00,,,,
2010,,CO,Colorado,,,,,,,,,
2017,,WY,Wyoming,,,53513.50,,18133964.00,,,,
2018,Roosevelt,WY,Wyoming,9/15/2018,10/6/2018,61511.00,U,30000000.00,,,,
2015,River Complex,CA,California,7/30/2015,9/25/2015,77081.00,L,32678783.00,,,,
2010,,FL,Florida,,,,,,,,,
2010,Big Mountain,AK,Alaska,6/2/2010,9/2/2010,83746.00,L,0.00,,,,
2010,Bull Creek,AK,Alaska,5/31/2010,6/25/2010,41911.00,L,0.00,,,,
2009,Chester,OK,Oklahoma,7/10/2009,7/17/2009,41497.00,U,250000.00,,,,
2010,,GA,Georgia,,,,,,,,,
2010,,MT,Montana,,,,,,,,,
2010,,TX,Texas,,,,,,,,,
2010,,NV,Nevada,,,,,,,,,
2010,,OK,Oklahoma,,,,,,,,,
2015,Wolverine,WA,Washington,6/29/2015,10/3/2015,72123.00,L,35000000.00,,,,
2010,,NM,New Mexico,,,,,,,,,
2010,,OR,Oregon,,,,,,,,,
2012,Keith County Complex,NE,Nebraska,8/2/2012,8/5/2012,50000.00,L,20000.00,,,,
2010,,SD,South Dakota,,,,,,,,,
2007,Poe Cabin,ID,Idaho,7/18/2007,10/17/2007,58520.00,L,15400000.00,,,,
